angle,entropy,tangle,p000,p111,p001,p010,p100,time
0.0,2.321485632130737,0.002333333333333326,0.20133333333333334,0.0,0.199,0.0,0.0,13.39731478691101
10.0,2.3215201049693794,0.00466666666666668,0.20333333333333334,0.0,0.19866666666666666,0.0,0.0,12.840946674346924
20.0,2.3205894432086573,0.02099999999999999,0.20666666666666667,0.0,0.18566666666666667,0.0,0.0,12.84049391746521
30.0,2.321666011181933,-0.008000000000000007,0.19366666666666665,0.0,0.20166666666666666,0.0,0.0,12.882612466812134
40.0,2.321783739989561,-0.0030000000000000027,0.197,0.0,0.2,0.0,0.0,12.786087274551392
50.0,2.3217762391559797,-0.00033333333333335213,0.19866666666666666,0.0,0.199,0.0,0.0,12.892701625823975
60.0,2.320788285374604,-0.009333333333333332,0.19233333333333333,0.0,0.20166666666666666,0.0,0.0,12.693907737731934
70.0,2.3209657390204548,-0.009666666666666657,0.189,0.0,0.19866666666666666,0.0,0.0,9.632992267608643
80.0,2.3212947895597216,0.012333333333333335,0.20966666666666667,0.0,0.19733333333333333,0.0,0.0,12.506403684616089
90.0,2.3216549338509265,-0.0016666666666666774,0.20066666666666666,0.0,0.20233333333333334,0.0,0.0,13.197158575057983
