test_name,parameter,entropy_BCD,three_tangle,bell_value,expectation_value,execution_time
zero_crossing,theta_50.7deg,2.4603813188633943,0.022,0,0,9.356982231140137
zero_crossing,theta_54.3deg,2.5265684453482646,0.013,0,0,9.621258974075317
zero_crossing,theta_54.3deg,2.377374237917499,0.006,0,0,9.30150055885315
zero_crossing,theta_56.5deg,2.524136326405329,-0.016,0,0,9.010586977005005
zero_crossing,theta_55.1deg,2.4559371520693816,0.012,0,0,9.50609827041626
zero_crossing,theta_55.6deg,2.575254278585304,-0.02,0,0,9.689768552780151
zero_crossing,theta_star_55.4deg,2.527337940009777,-0.031,0,0,9.140751361846924
tomography,ZZZZ,1.978006993192277,0.492,0,0.536,9.516077280044556
tomography,XXXX,2.782906467545246,-0.043,0,0.01599999999999997,9.108457326889038
tomography,YYYY,2.8407264472253067,-0.226,0,0.003999999999999968,9.198005199432373
tomography,XZZZ,2.5014894312768674,-0.405,0,-0.2919999999999999,9.135635137557983
tomography,YZZZ,2.488955507693013,-0.415,0,-0.32599999999999996,9.454665660858154
tomography,XXZZ,2.46676460695789,-0.092,0,0.44600000000000006,9.95375943183899
tomography,XZXZ,2.713727922670055,-0.363,0,-0.062000000000000006,10.213490962982178
tomography,XZZX,2.4738672918345848,-0.401,0,0.04600000000000001,9.448069095611572
tomography,YYZZ,2.540716435388699,-0.574,0,-0.368,9.695232152938843
tomography,YZYZ,2.719528337765659,-0.229,0,0.08400000000000002,10.616980791091919
tomography,YZZX,2.504647047657038,-0.431,0,-0.12400000000000004,14.380965948104858
tomography,XXXX,2.719070505741951,0.01,0,-0.052,11.750329732894897
tomography,YYYX,2.779590960004999,-0.263,0,-0.4019999999999999,11.316603899002075
tomography,ZXXX,2.910906140220268,-0.158,0,-0.11999999999999995,9.919944286346436
bell_chsh,ZZ,1.9876596971024356,0.475,0.486,0.486,9.08266544342041
bell_chsh,ZX,2.228604007336003,-0.03,-0.03200000000000005,-0.03200000000000005,9.50979208946228
bell_chsh,XZ,2.4596850225015805,-0.404,-0.25,-0.25,9.51122260093689
bell_chsh,XX,2.382886661581143,-0.051,0.44800000000000006,0.44800000000000006,9.48938512802124
bell_mermin,XXY,2.8636458319002656,-0.11,-0.06200000000000001,-0.06200000000000001,9.511245727539062
bell_mermin,XYX,2.9828373731185045,-0.049,-0.09,-0.09,9.348102807998657
bell_mermin,YXX,2.9947552426300463,-0.105,0.254,0.254,9.296082973480225
bell_mermin,YYY,2.995973803736981,-0.091,-0.32399999999999995,-0.32399999999999995,9.62889289855957
bell_contextuality,theta_Z,1.9606329420015618,0.515,0,1.9606329420015618,9.26017713546753
bell_contextuality,theta_X,2.5186306502035642,-0.385,0,2.5186306502035642,12.854470252990723
bell_contextuality,theta_45°,2.408024146778451,0.155,0,2.408024146778451,9.58456802368164
